timestamp,alertname,value
2021-07-15 09:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 10:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 10:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 10:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 10:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 10:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 10:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 11:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 11:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 11:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 11:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 11:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 11:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 12:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 12:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 12:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 12:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 12:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 12:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 10:10:00,AlertmanagerReceiversNotConfigured,1584.0
2021-07-14 10:20:00,AlertmanagerReceiversNotConfigured,1598.0
2021-07-14 10:30:00,AlertmanagerReceiversNotConfigured,1598.0
2021-07-14 10:40:00,AlertmanagerReceiversNotConfigured,1613.0
2021-07-14 10:50:00,AlertmanagerReceiversNotConfigured,1575.0
2021-07-14 11:00:00,AlertmanagerReceiversNotConfigured,1599.0
2021-07-14 11:10:00,AlertmanagerReceiversNotConfigured,1620.0
2021-07-14 11:20:00,AlertmanagerReceiversNotConfigured,1626.0
2021-07-14 11:30:00,AlertmanagerReceiversNotConfigured,1626.0
2021-07-14 11:40:00,AlertmanagerReceiversNotConfigured,1626.0
2021-07-14 11:50:00,AlertmanagerReceiversNotConfigured,1627.0
2021-07-14 12:00:00,AlertmanagerReceiversNotConfigured,1627.0
2021-07-14 12:10:00,AlertmanagerReceiversNotConfigured,1627.0
2021-07-14 12:20:00,AlertmanagerReceiversNotConfigured,1627.0
2021-07-14 12:30:00,AlertmanagerReceiversNotConfigured,1627.0
2021-07-14 12:40:00,AlertmanagerReceiversNotConfigured,1625.0
2021-07-14 12:50:00,AlertmanagerReceiversNotConfigured,1604.0
2021-07-14 13:00:00,AlertmanagerReceiversNotConfigured,1602.0
2021-07-14 13:10:00,AlertmanagerReceiversNotConfigured,1593.0
2021-07-14 13:20:00,AlertmanagerReceiversNotConfigured,1598.0
2021-07-14 13:30:00,AlertmanagerReceiversNotConfigured,1602.0
2021-07-14 13:40:00,AlertmanagerReceiversNotConfigured,1606.0
2021-07-14 13:50:00,AlertmanagerReceiversNotConfigured,1597.0
2021-07-14 14:00:00,AlertmanagerReceiversNotConfigured,1607.0
